system,system_name,ela_2019,math_2019,ss_2019,ela_2024,math_2024,ss_2024,ela_change,math_change,ss_change,county_income,income_quartile
640,Moore County,29.7,37.2,44.2,35.2,43.3,54.5,5.5,6.1,10.3,64600.0,Q4 High-Income
650,Morgan County,20.3,19.2,13.4,25.0,25.6,20.4,4.7,6.4,7.0,37300.0,Q1 Low-Income
660,Obion County,37.1,41.9,44.9,41.3,49.8,52.7,4.2,7.9,7.8,45100.0,Q2 Lower-Mid
661,Union City,27.5,37.1,36.6,41.7,46.3,47.1,14.2,9.2,10.5,45100.0,Q2 Lower-Mid
670,Overton County,31.4,40.4,39.4,34.5,41.7,42.2,3.1,1.3,2.8,41600.0,Q1 Low-Income
680,Perry County,29.3,28.2,19.9,26.6,28.1,30.8,-2.7,-0.1,10.9,39200.0,Q1 Low-Income
690,Pickett County,24.1,17.7,24.1,32.9,26.0,18.9,8.8,8.3,-5.2,40700.0,Q1 Low-Income
700,Polk County,31.6,41.5,38.3,33.3,33.9,35.6,1.7,-7.6,-2.7,42400.0,Q1 Low-Income
710,Putnam County,32.8,40.9,33.7,39.0,48.6,40.7,6.2,7.7,7.0,52600.0,Q3 Upper-Mid
720,Rhea County,34.1,44.3,38.8,40.1,51.0,45.3,6.0,6.7,6.5,44200.0,Q2 Lower-Mid
721,Dayton,35.5,46.3,42.1,41.1,45.3,48.1,5.6,-1.0,6.0,44200.0,Q2 Lower-Mid
730,Roane County,35.7,43.5,46.2,36.6,42.4,46.9,0.9,-1.1,0.7,51400.0,Q3 Upper-Mid
740,Robertson County,29.3,35.2,34.3,30.0,31.4,33.8,0.7,-3.8,-0.5,67500.0,Q4 High-Income
750,Rutherford County,39.2,47.8,50.2,44.7,48.6,56.6,5.5,0.8,6.4,75200.0,Q4 High-Income
751,Murfreesboro,37.0,53.5,27.8,42.0,45.6,23.9,5.0,-7.9,-3.9,75200.0,Q4 High-Income
760,Scott County,29.6,31.8,24.3,32.3,34.4,35.6,2.7,2.6,11.3,36300.0,Q1 Low-Income
761,Oneida,35.6,30.5,45.7,34.4,33.7,37.5,-1.2,3.2,-8.2,36300.0,Q1 Low-Income
770,Sequatchie County,26.1,30.3,41.1,28.2,31.8,38.9,2.1,1.5,-2.2,46400.0,Q2 Lower-Mid
780,Sevier County,29.7,37.6,37.2,31.9,38.3,38.9,2.2,0.7,1.7,55400.0,Q4 High-Income
792,Shelby County,20.6,27.2,23.1,22.4,20.0,24.3,1.8,-7.2,1.2,56800.0,Q4 High-Income
793,Arlington,57.5,68.0,58.7,64.0,70.1,73.0,6.5,2.1,14.3,56800.0,Q4 High-Income
794,Bartlett,45.6,55.6,57.4,47.5,53.9,60.2,1.9,-1.7,2.8,56800.0,Q4 High-Income
795,Collierville,60.2,66.7,73.5,66.6,73.3,76.9,6.4,6.6,3.4,56800.0,Q4 High-Income
796,Germantown,62.7,70.0,73.0,70.1,75.1,67.7,7.4,5.1,-5.3,56800.0,Q4 High-Income
797,Lakeland,63.1,73.6,62.0,64.1,64.1,64.6,1.0,-9.5,2.6,56800.0,Q4 High-Income
798,Millington Municipal Schools,27.2,33.8,26.9,32.1,29.6,32.8,4.9,-4.2,5.9,56800.0,Q4 High-Income
800,Smith County,35.3,47.2,32.1,41.0,42.7,41.0,5.7,-4.5,8.9,53700.0,Q3 Upper-Mid
810,Stewart County,39.3,43.3,40.3,39.4,44.6,57.4,0.1,1.3,17.1,49600.0,Q3 Upper-Mid
820,Sullivan County,31.7,33.6,37.5,37.1,37.4,40.6,5.4,3.8,3.1,53600.0,Q3 Upper-Mid
821,Bristol,40.1,46.1,51.1,40.1,44.2,55.9,0.0,-1.9,4.8,53600.0,Q3 Upper-Mid
822,Kingsport,39.2,45.7,52.5,44.4,45.8,56.8,5.2,0.1,4.3,53600.0,Q3 Upper-Mid
830,Sumner County,43.6,58.5,52.0,48.2,58.0,59.2,4.6,-0.5,7.2,78300.0,Q4 High-Income
840,Tipton County,34.5,52.2,43.3,33.1,44.1,49.6,-1.4,-8.1,6.3,64300.0,Q4 High-Income
850,Trousdale County,43.7,57.7,49.7,44.5,56.8,63.2,0.8,-0.9,13.5,52500.0,Q3 Upper-Mid
860,Unicoi County,28.0,34.2,45.0,35.0,42.4,56.3,7.0,8.2,11.3,43300.0,Q2 Lower-Mid
870,Union County,22.0,21.8,28.6,21.8,17.8,17.9,-0.2,-4.0,-10.7,41700.0,Q1 Low-Income
880,Van Buren County,27.3,44.7,30.4,35.6,48.8,43.0,8.3,4.1,12.6,41300.0,Q1 Low-Income
890,Warren County,27.9,30.4,40.4,29.7,27.7,34.8,1.8,-2.7,-5.6,48100.0,Q3 Upper-Mid
900,Washington County,43.1,49.5,47.8,45.4,45.9,51.7,2.3,-3.6,3.9,57100.0,Q4 High-Income
901,Johnson City,47.8,59.8,62.4,58.7,59.5,69.6,10.9,-0.3,7.2,57100.0,Q4 High-Income
910,Wayne County,29.0,27.0,32.3,26.3,21.1,32.2,-2.7,-5.9,-0.1,37500.0,Q1 Low-Income
920,Weakley County,38.2,46.8,43.6,45.4,48.7,54.2,7.2,1.9,10.6,45200.0,Q2 Lower-Mid
930,White County,28.1,39.8,41.6,40.8,47.8,55.5,12.7,8.0,13.9,47500.0,Q2 Lower-Mid
940,Williamson County,66.7,74.5,77.8,67.5,72.4,79.1,0.8,-2.1,1.3,118500.0,Q4 High-Income
941,Franklin SSD,50.9,62.3,65.1,56.0,55.7,58.5,5.1,-6.6,-6.6,118500.0,Q4 High-Income
950,Wilson County,45.0,55.4,56.8,51.2,55.8,66.9,6.2,0.4,10.1,85200.0,Q4 High-Income
951,Lebanon,36.2,46.3,47.7,38.0,43.0,44.2,1.8,-3.3,-3.5,85200.0,Q4 High-Income
